id,ans
1,1
2,3
3,3
4,0
5,0
6,3
7,2
8,0
9,3
10,0
11,1
12,3
13,3
14,5
15,3
16,0
17,2
18,0
19,0
20,5
21,0
22,2
23,2
24,4
25,4
26,2
27,5
28,5
29,0
30,2
31,5
32,4
33,1
34,2
35,3
36,1
37,4
38,1
39,3
40,5
41,5
42,5
43,1
44,5
45,4
46,0
47,5
48,3
49,1
50,3
51,2
52,3
53,5
54,1
55,4
56,1
57,0
58,3
59,5
60,3
61,4
62,3
63,2
64,4
65,4
66,0
67,2
68,2
69,0
70,4
71,5
72,1
73,1
74,3
75,2
76,4
77,2
78,0
79,0
80,4
81,3
82,4
83,0
84,5
85,2
86,5
87,5
88,2
89,0
90,4
91,0
92,1
93,0
94,3
95,4
96,0
97,1
98,1
99,5
100,5
101,0
102,2
103,5
104,0
105,0
106,5
107,1
108,5
109,3
110,0
111,3
112,5
113,3
114,3
115,0
116,1
117,3
118,3
119,0
120,1
121,2
122,2
123,3
124,4
125,1
126,1
127,2
128,2
129,4
130,5
131,4
132,0
133,0
134,4
135,0
136,2
137,0
138,2
139,1
140,0
141,2
142,4
143,0
144,5
145,4
146,2
147,4
148,5
149,1
150,4
151,0
152,0
153,3
154,0
155,0
156,2
157,0
158,2
159,1
160,2
161,0
162,1
163,4
164,4
165,0
166,2
167,4
168,1
169,0
170,0
171,0
172,1
173,0
174,4
175,4
176,0
177,0
178,2
179,3
180,2
181,2
182,2
183,5
184,2
185,2
186,1
187,2
188,5
189,3
190,2
191,0
192,5
193,2
194,2
195,1
196,5
197,2
198,4
199,0
200,5
201,1
202,2
203,3
204,3
205,5
206,1
207,3
208,5
209,3
210,0
211,0
212,2
213,5
214,4
215,5
216,0
217,4
218,2
219,0
220,4
221,0
222,1
223,2
224,0
225,4
226,0
227,2
228,5
229,3
230,4
231,2
232,2
233,1
234,5
235,3
236,5
237,4
238,5
239,0
240,0
241,1
242,0
243,2
244,2
245,1
246,1
247,1
248,2
249,2
250,0
251,0
252,2
253,3
254,1
255,4
256,1
257,2
258,5
259,4
260,1
261,4
262,2
263,1
264,3
265,1
266,2
267,4
268,4
269,2
270,3
271,4
272,1
273,1
274,2
275,1
276,1
277,1
278,2
279,3
280,2
281,0
282,1
283,2
284,3
285,2
286,5
